"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.	Taylor remained a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox in baseball until his death.			
Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.	Taylor remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.			
"Tode Mongke, also known as Tuda Mengu, Tudamongke, was khan of the Golden Horde, division of the Mongol Empire from 1280 to 1287."	"Dead Mongke, also known as Tuda Mengu, Tudamongke, was Khan of the Golden Horde from 1280 to 1287, division of the Mongolian Empire."			
"Tode Mongke, also known as Tuda Mengu, Tudamongke, was khan of the Golden Horde, division of the Mongol Empire from 1280 to 1287."	"Tode Mongke, also known as Tuda Mengu, Tudamongke, was Khan of the Gold Horde from 1280 to 1287, division of the Mongolian Empire."			
"The Carson McCullers Center for Writers and Musicians offers regular programs and provides fellowships. The university also owns the Carson McCullers House in Nyack, NY."	"The Carson McCullers Center for Writers and Musicians offers regular programs and provides scholarships. The university also owns the Carson McCullers House in Nyack, New York."			
Gelechia hetaeria is a moth of the Gelechiidae family. It is found in Mexico (Veracruz).	"Gelechia hetaeria is a moth from the family of gelechiidae, which is found in Mexico (Veracruz)."			
Gelechia hetaeria is a moth of the Gelechiidae family. It is found in Veracruz (Mexico).	"Gelechia hetaeria is a moth of the Gelechiidae family, who is found in Veracruz (Mexico)."			
"It was formed by Astrid M., Robert N. and Olaf K. in 1998."	"It was founded in 1998 by Astrid M., Robert N. and Olaf K.."			
"It was formed by Astrid M., Robert N. and Olaf K. in 1998."	"It was formed in 1998 by Astrid M., Robert N. and Olaf K."			
"Here, he was much nerdier, gawkier, and scrawnier than his later versions."	"Here he was much nerdier, gawkier and scrawnier than his later editions."			
"They also brought back their seasonal brews, including a Porter, a Pumpkin Ale and a Bock."	"They also brought their seasonal beers, including a porter, a pumpkin ale, and a bock."			
"Their founder was, who came from China during the Seongjong of Goryeo period."	"Their founder, who came from China during the Seongjong of the Goryeo, was."			
"Their founder came, who was from China during the Seongjong of Goryeo period."	"Their founder, who came from China during the Seongjong of Goryeo, was born."			
CUTA has five regional and five national committees.	CUTA has five national and regional committees.			
CUTA has five national and five regional committees.	The CUTA has five national and five regional committees.			
The episode was directed by Tony Goldwyn and written by Matt Byrne and Mark Fish.	The episode was addressed by Tony Goldwyn and written by Matt Byrne and Mark Fish.			
Corruption was widespread in Persia and discipline in the army became dangerously lax.	"Corruption was widespread in Persia, and discipline in the army was dangerously lax."			
Corruption was widespread in Persia and discipline in the army became dangerously lax.	"Corruption was widespread in Persia, and discipline in the army became dangerously loose."			
"Weeraketiya Divisional Secretariat is a Divisional Secretariat of Hambantota District, of Southern Province, Sri Lanka."	The Divisional Secretariat Weeraketiya is a divisional secretariat of Hambantota District in the southern province of Sri Lanka.			
"According to the United States Census Bureau, the town has a total area of, of which is land and, or 1.35%, is water."	"According to the United States Census Bureau, the city has a total surface area of which is land and, or 1.35%, is water."			
"According to the United States Census Bureau, the town is a total area of, of which has land and, or 1.35%, is water."	"According to the United States Census Bureau, the city is a total area of which land and, or 1.35% has, is water."			
"According to the United States Census Bureau, the town is a total area of, of which has land and, or 1.35%, is water."	"According to the United States Census Bureau, the city is a total surface area of which has land and, or 1.35%, is water."			
There are no secondary schools in the island. The nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester.	"There are no secondary schools on the island, the nearest are Thurstable School in Tiptree and Thomas Lord Audley School in Colchester."			
"The more direct and primitive works, they say, provide a richer feeling, whereas the literal interpretation represents a lack of ""emotional content""."	"The more direct and primitive works, they say, convey a richer feeling, while the literal interpretation represents a lack of ""emotional content""."			
He was the only Australian and the only Architect in the group.	He was the only Australian and the only architect within the group.			
"La Unión is a city in Greater Buenos Aires, Argentina, in the Ezeiza Partido."	"La Unión is a city in the Greater Buenos Aires, Argentina, in the Ezeiza Partido."			
"La Unión is a city in Ezeiza Partido, in the Greater Buenos Aires, Argentina."	"La Unión is a town in Ezeiza Partido, in the Greater Buenos Aires, Argentina."			
"He learns that his body carries the Shinra Banshou, a scroll that holds the most powerful secret art in the ninja world of Nabari."	"He learns that his body wears the Shinra Banshou, a scroll that contains the most powerful secret art in the Ninja world of Nabari."			
"He learns that his body holds the Shinra Banshou, a scroll that carries the most powerful secret art in the ninja world of Nabari."	"He learns that his body holds the Shinra Banshou, a scroll that bears the most powerful secret art in the Ninja world of Nabari."			
"The medals were presented by Carlo Croce, IOC member, New Zealand and Barbara Kendall, President of World Sailing."	"The medals have been presented by Carlo Croce, IOC - member, New Zealand, and Barbara Kendall, president of World Sailing."			
"The medals were presented by Carlo Croce, IOC member, New Zealand and Barbara Kendall, President of World Sailing."	"The medals were handed over by Carlo Croce, IOC - Member, New Zealand, and Barbara Kendall, President of World Sailing."			
The Replicant is dating Hooker (Marnie Alton) as the film ends.	The replicant is Hooker (Marnie Alton) dated as the film ends.			
"Construction of the PRL began with the Chatswood to Epping section, which commenced in November 2002."	"The construction of the PRL began with the section Chatswood to Epping, which began in November 2002."			
"Construction of the PRL began with the Chatswood to Epping section, which commenced in November 2002."	"The construction of the PRL began with the Chatswood section to Epping, which began in November 2002."			
